@relation 'bloodDonation_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1_clustered'

@attribute Instance_number numeric
@attribute '-0.611Frequency (times)-0.611Monetary (c.c. blood)-0.494Time (months)+0.093Recency (months)' numeric
@attribute '0.915Recency (months)+0.384Time (months)-0.085Monetary (c.c. blood)-0.085Frequency (times)' numeric
@attribute '0.78 Time (months)-0.391Recency (months)-0.345Monetary (c.c. blood)-0.345Frequency (times)' numeric
@attribute 'whether he/she donated blood in March 2007' {Yes,No}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
507,-2.24991,2.151415,0.236061,No,cluster4
508,0.644659,1.384345,-0.235455,No,cluster3
509,1.059485,1.497905,-0.501963,No,cluster3
510,1.059485,1.497905,-0.501963,No,cluster3
511,-0.966679,1.921515,0.004856,No,cluster3
512,0.282966,1.055207,0.486323,No,cluster5
513,0.708282,1.579008,-0.396158,No,cluster3
514,0.583869,1.431601,-0.139449,No,cluster3
515,1.018958,1.529409,-0.437959,No,cluster3
516,1.347065,1.222139,-0.447064,No,cluster3
517,1.347065,1.222139,-0.447064,No,cluster3
518,1.347065,1.222139,-0.447064,No,cluster3
519,1.347065,1.222139,-0.447064,No,cluster3
520,1.347065,1.222139,-0.447064,No,cluster3
521,1.347065,1.222139,-0.447064,No,cluster3
522,1.347065,1.222139,-0.447064,No,cluster3
523,1.347065,1.222139,-0.447064,No,cluster3
524,1.347065,1.222139,-0.447064,No,cluster3
525,1.347065,1.222139,-0.447064,No,cluster3
526,1.347065,1.222139,-0.447064,No,cluster3
527,-0.280644,1.719823,0.328177,No,cluster3
528,0.255762,1.738871,-0.130343,No,cluster3
529,0.090822,1.622968,0.19037,No,cluster3
530,0.029315,0.83399,1.486323,No,cluster2
531,-0.217021,1.914486,0.167474,No,cluster3
532,0.566439,1.689272,-0.172144,No,cluster3
533,0.546175,1.705024,-0.140141,No,cluster3
534,-0.408823,1.348856,1.639092,No,cluster2
535,0.854018,1.413506,-0.117245,No,cluster3
536,-0.669541,2.074349,0.433289,No,cluster3
537,1.329635,1.47981,-0.479759,No,cluster3
538,1.329635,1.47981,-0.479759,No,cluster3
539,1.329635,1.47981,-0.479759,No,cluster3
540,1.329635,1.47981,-0.479759,No,cluster3
541,1.329635,1.47981,-0.479759,No,cluster3
542,1.329635,1.47981,-0.479759,No,cluster3
543,1.329635,1.47981,-0.479759,No,cluster3
544,1.329635,1.47981,-0.479759,No,cluster3
545,0.093655,1.864887,0.125674,No,cluster3
546,-1.016852,2.100214,1.042022,No,cluster2
547,0.404331,1.815288,0.083873,No,cluster3
548,0.732438,1.508018,0.074768,No,cluster3
549,0.05702,1.841153,0.692606,No,cluster2
550,0.087057,1.399408,1.244576,No,cluster2
551,-0.06456,1.935665,0.884619,No,cluster2
552,-0.5953,2.400455,1.213746,No,cluster2
553,-0.426468,2.46112,1.395961,No,cluster2
554,-0.176582,2.458777,1.450167,No,cluster2
555,0.218698,3.424323,0.015715,No,cluster3
556,1.19891,3.412344,-0.724967,No,cluster3
557,1.19891,3.412344,-0.724967,No,cluster3
558,1.18148,3.670015,-0.757662,No,cluster3
559,0.88517,8.050425,-1.313468,No,cluster3
560,-9.43508,-0.967469,-2.147309,No,cluster6
561,-1.006473,-1.186555,-0.646526,No,cluster4
562,-1.067264,-1.139299,-0.55052,No,cluster4
563,-1.10779,-1.107795,-0.486515,No,cluster4
564,-1.866163,-0.97193,-0.665481,No,cluster4
565,0.24579,-0.956351,-0.440192,No,cluster1
566,-0.665975,-0.823306,-0.346793,No,cluster1
567,0.702201,-1.171452,-0.203079,No,cluster1
568,-2.674709,-0.657367,0.19272,No,cluster4
569,-4.828247,-0.344285,-0.53619,No,cluster4
570,-0.456616,-0.794145,-0.228583,No,cluster5
571,0.641411,-1.124196,-0.107072,No,cluster1
572,-0.020468,-0.993494,0.040532,No,cluster5
573,-1.384753,-0.700586,0.399746,No,cluster5
574,-3.105064,-0.252978,1.351345,No,cluster2
575,-2.083394,-0.31482,-0.442851,No,cluster4
576,0.911561,-1.142291,-0.084868,No,cluster1
577,0.623981,-0.866525,-0.139767,No,cluster1
578,0.85077,-1.095035,0.011138,No,cluster1
579,0.459041,-0.982428,0.180947,No,cluster5
580,0.583454,-0.835021,-0.075763,No,cluster1
581,-0.026349,-0.622739,-0.040512,No,cluster5
582,-0.078425,-0.704319,0.071842,No,cluster5
583,0.570633,0.203646,-0.805475,No,cluster0
584,-0.913959,-0.560684,0.523813,No,cluster5
585,-1.152297,-0.445258,0.421258,No,cluster5
586,-1.225694,-0.213928,-0.002011,No,cluster4
587,-2.888048,-0.055495,0.918278,No,cluster2
588,-1.641452,-0.309129,1.254005,No,cluster2
589,-0.179742,-0.625559,0.231853,No,cluster5
590,-1.213087,-0.398002,0.517264,No,cluster5
591,-0.405472,-0.694206,0.648573,No,cluster5
592,-0.445999,-0.662702,0.712577,No,cluster5
593,1.184543,-0.918467,-0.127361,No,cluster1
594,1.12092,-1.11313,0.033342,No,cluster1
595,-0.810867,-0.100368,-0.268519,No,cluster4
596,0.454934,-0.072597,-0.532419,No,cluster0
597,0.708927,-0.984771,0.235153,No,cluster1
598,1.512649,-1.225737,-0.136467,No,cluster1
599,1.512649,-1.225737,-0.136467,No,cluster1
600,1.512649,-1.225737,-0.136467,No,cluster1
601,1.512649,-1.225737,-0.136467,No,cluster1
602,1.512649,-1.225737,-0.136467,No,cluster1
603,1.512649,-1.225737,-0.136467,No,cluster1
604,1.512649,-1.225737,-0.136467,No,cluster1
605,1.512649,-1.225737,-0.136467,No,cluster1
606,1.512649,-1.225737,-0.136467,No,cluster1
607,-1.206489,0.067477,-0.601638,No,cluster4
608,0.688663,-0.969019,0.267155,No,cluster5
609,-2.025525,-0.0282,0.872536,No,cluster2
610,-0.042721,-0.662225,0.494419,No,cluster5
611,-0.341849,-0.499543,0.48787,No,cluster5
612,0.648136,-0.937515,0.331159,No,cluster5
613,-1.215204,0.196313,-0.617986,No,cluster4
614,1.06013,-1.065874,0.129348,No,cluster1
615,-0.402639,-0.452287,0.583876,No,cluster5
616,0.931609,-0.30345,-0.327308,No,cluster0
617,-0.300605,0.305187,-0.776081,No,cluster0
618,1.10349,-0.855459,0.000647,No,cluster1
619,-2.442341,0.173756,1.560928,No,cluster2
620,-1.26326,-0.219303,1.55443,No,cluster2
621,-1.26326,-0.219303,1.55443,No,cluster2
622,1.495219,-0.968065,-0.169161,No,cluster1
623,1.495219,-0.968065,-0.169161,No,cluster1
624,1.495219,-0.968065,-0.169161,No,cluster1
625,1.495219,-0.968065,-0.169161,No,cluster1
626,1.495219,-0.968065,-0.169161,No,cluster1
627,1.495219,-0.968065,-0.169161,No,cluster1
628,1.495219,-0.968065,-0.169161,No,cluster1
629,1.495219,-0.968065,-0.169161,No,cluster1
630,1.495219,-0.968065,-0.169161,No,cluster1
631,1.495219,-0.968065,-0.169161,No,cluster1
632,-0.936212,-0.229416,0.9777,No,cluster2
633,1.495219,-0.968065,-0.169161,No,cluster1
634,0.042941,0.055762,-0.330608,No,cluster0
635,0.064263,-0.257147,0.205015,No,cluster5
636,-1.135082,0.151664,0.243515,No,cluster5
637,1.224855,-0.095377,-0.401802,No,cluster0
638,-0.560854,-0.381509,1.342821,No,cluster2
639,-2.286115,0.418495,1.223867,No,cluster2
640,-1.349264,0.196101,0.611886,No,cluster2
641,0.898022,-0.939858,0.385365,No,cluster5
642,0.653803,-0.453676,0.201766,No,cluster5
643,-2.701069,0.583733,-0.066759,No,cluster4
644,0.937276,0.180389,-0.456701,No,cluster0
645,-3.286718,0.725024,0.439418,No,cluster4
646,-0.43644,-0.234102,1.086112,No,cluster2
647,-0.273617,0.476116,-0.369851,No,cluster0
648,0.481923,0.098332,-0.126189,No,cluster0
649,-0.280215,0.010637,0.749051,No,cluster5
650,-0.220483,0.260538,0.08542,No,cluster5
651,0.038118,0.12936,0.155973,No,cluster5
652,1.19871,0.291129,-0.450844,No,cluster0
653,1.19871,0.291129,-0.450844,No,cluster0
654,0.675125,-0.766586,0.737389,No,cluster5
655,0.772335,0.064485,-0.135987,No,cluster0
656,-0.705873,0.620227,-0.136038,No,cluster0
657,1.451644,-0.323888,-0.250898,No,cluster1
658,0.330306,0.634589,-0.486146,No,cluster0
659,0.536831,0.421831,-0.303239,No,cluster0
660,0.759012,-0.587675,0.544684,No,cluster5
661,0.847507,0.372232,-0.34504,No,cluster0
662,-2.985815,1.101418,-0.186354,No,cluster4
663,0.738749,-0.571923,0.576686,No,cluster5
664,-0.786927,0.683235,-0.00803,No,cluster0
665,0.711545,0.111741,-0.039981,No,cluster0
666,-0.476251,0.633636,-0.04983,No,cluster0
667,0.197177,0.616018,-0.245784,No,cluster0
668,1.18128,0.5488,-0.483539,No,cluster0
669,0.870604,0.598399,-0.441738,No,cluster0
670,-1.267367,0.690528,0.841065,No,cluster2
671,1.434215,-0.066216,-0.283592,No,cluster0
672,1.434215,-0.066216,-0.283592,No,cluster0
673,1.434215,-0.066216,-0.283592,No,cluster0
674,1.434215,-0.066216,-0.283592,No,cluster0
675,-0.425823,-0.102659,2.027272,No,cluster2
676,0.519401,0.679502,-0.335934,No,cluster0
677,-2.97909,1.288099,0.251877,No,cluster4
678,-2.688677,1.254252,0.242079,No,cluster4
679,-1.425709,1.040104,0.042876,No,cluster4
680,0.830077,0.629903,-0.377734,No,cluster0
681,0.74619,0.450992,-0.185029,No,cluster0
682,-3.229103,1.56924,-1.359463,No,cluster4
683,-1.118798,0.766945,1.055282,No,cluster2
684,0.705664,0.482496,-0.121025,No,cluster0
685,0.434798,-0.335643,1.056718,No,cluster2
686,0.941168,0.12515,0.046227,No,cluster0
687,0.488648,0.285013,0.312042,No,cluster5
688,0.418084,0.758262,-0.175923,No,cluster0
689,-0.253568,1.314957,-0.61229,No,cluster3
690,-1.115964,1.008864,0.990585,No,cluster2
691,-0.345112,0.967724,0.131692,No,cluster0
692,0.604347,0.561256,0.038986,No,cluster0
693,1.40807,0.32029,-0.332634,No,cluster0
694,1.40807,0.32029,-0.332634,No,cluster0
695,1.40807,0.32029,-0.332634,No,cluster0
696,1.40807,0.32029,-0.332634,No,cluster0
697,1.40807,0.32029,-0.332634,No,cluster0
698,1.40807,0.32029,-0.332634,No,cluster0
699,0.56382,0.59276,0.10299,No,cluster0
700,0.56382,0.59276,0.10299,No,cluster0
701,-0.838158,1.159091,0.461512,No,cluster2
702,1.137705,1.192978,-0.565275,No,cluster3
703,0.586917,0.818927,0.006291,No,cluster0
704,1.39064,0.577961,-0.365328,No,cluster0
705,1.39064,0.577961,-0.365328,No,cluster0
706,1.39064,0.577961,-0.365328,No,cluster0
707,1.39064,0.577961,-0.365328,No,cluster0
708,1.39064,0.577961,-0.365328,No,cluster0
709,0.894759,0.527409,0.029188,No,cluster0
710,-0.470457,0.838676,1.377911,No,cluster2
711,-0.246843,1.501638,-0.174059,No,cluster3
712,1.120275,1.450649,-0.597969,No,cluster3
713,-0.162956,1.680549,-0.366764,No,cluster3
714,-0.973277,1.456036,1.123758,No,cluster2
715,-0.0885,1.152062,0.62413,No,cluster2
716,-0.561284,1.327677,0.921947,No,cluster2
717,1.036388,1.271738,-0.405264,No,cluster3
718,0.644659,1.384345,-0.235455,No,cluster3
719,0.644659,1.384345,-0.235455,No,cluster3
720,-1.067996,2.000275,0.164866,No,cluster3
721,0.583869,1.431601,-0.139449,No,cluster3
722,0.667756,1.610512,-0.332154,No,cluster3
723,0.543342,1.463105,-0.075445,No,cluster3
724,1.018958,1.529409,-0.437959,No,cluster3
725,1.347065,1.222139,-0.447064,No,cluster3
726,1.347065,1.222139,-0.447064,No,cluster3
727,-0.241176,1.985476,-0.303452,No,cluster3
728,1.347065,1.222139,-0.447064,No,cluster3
729,1.347065,1.222139,-0.447064,No,cluster3
730,0.586702,1.67352,-0.204146,No,cluster3
731,0.894545,1.382002,-0.181249,No,cluster3
732,-0.327769,1.285848,1.511084,No,cluster2
733,1.329635,1.47981,-0.479759,No,cluster3
734,1.329635,1.47981,-0.479759,No,cluster3
735,1.329635,1.47981,-0.479759,No,cluster3
736,1.329635,1.47981,-0.479759,No,cluster3
737,1.329635,1.47981,-0.479759,No,cluster3
738,1.329635,1.47981,-0.479759,No,cluster3
739,0.113919,1.849135,0.093672,No,cluster3
740,1.329635,1.47981,-0.479759,No,cluster3
741,-1.243641,2.328724,0.891117,No,cluster2
742,-0.446516,1.622279,1.6384,No,cluster2
743,0.816325,1.686929,-0.117937,No,cluster3
744,0.50954,1.68129,0.426791,No,cluster3
745,0.120644,2.035816,0.531903,No,cluster3
746,1.190195,3.54118,-0.741315,No,cluster3
747,0.9026,7.792753,-1.280774,No,cluster3
