@relation 'AT: bloodDonation-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '-0.611Frequency (times)-0.611Monetary (c.c. blood)-0.494Time (months)+0.093Recency (months)' numeric
@attribute '0.915Recency (months)+0.384Time (months)-0.085Monetary (c.c. blood)-0.085Frequency (times)' numeric
@attribute '0.78 Time (months)-0.391Recency (months)-0.345Monetary (c.c. blood)-0.345Frequency (times)' numeric
@attribute 'whether he/she donated blood in March 2007' {Yes,No}

@data
0.56382,0.59276,0.10299,No
0.56382,0.59276,0.10299,No
-0.838158,1.159091,0.461512,No
1.137705,1.192978,-0.565275,No
0.586917,0.818927,0.006291,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
1.39064,0.577961,-0.365328,No
0.894759,0.527409,0.029188,No
-0.470457,0.838676,1.377911,No
-0.246843,1.501638,-0.174059,No
1.120275,1.450649,-0.597969,No
-0.162956,1.680549,-0.366764,No
-0.973277,1.456036,1.123758,No
-0.0885,1.152062,0.62413,No
-0.561284,1.327677,0.921947,No
1.036388,1.271738,-0.405264,No
0.644659,1.384345,-0.235455,No
0.644659,1.384345,-0.235455,No
-1.067996,2.000275,0.164866,No
0.583869,1.431601,-0.139449,No
0.667756,1.610512,-0.332154,No
0.543342,1.463105,-0.075445,No
1.018958,1.529409,-0.437959,No
1.347065,1.222139,-0.447064,No
1.347065,1.222139,-0.447064,No
-0.241176,1.985476,-0.303452,No
1.347065,1.222139,-0.447064,No
1.347065,1.222139,-0.447064,No
0.586702,1.67352,-0.204146,No
0.894545,1.382002,-0.181249,No
-0.327769,1.285848,1.511084,No
1.329635,1.47981,-0.479759,No
1.329635,1.47981,-0.479759,No
1.329635,1.47981,-0.479759,No
1.329635,1.47981,-0.479759,No
1.329635,1.47981,-0.479759,No
1.329635,1.47981,-0.479759,No
0.113919,1.849135,0.093672,No
1.329635,1.47981,-0.479759,No
-1.243641,2.328724,0.891117,No
-0.446516,1.622279,1.6384,No
0.816325,1.686929,-0.117937,No
0.50954,1.68129,0.426791,No
0.120644,2.035816,0.531903,No
1.190195,3.54118,-0.741315,No
0.9026,7.792753,-1.280774,No
